,avg_assessment_accuracy,avg_assessment_time,prev_assessment_accuracy,tot_time_playing_game
0,,,,35855793
1,1.0,17534.645833333332,1.0,71139760
2,0.35555555555555557,37020.718518518515,0.0,75295894
3,0.48823529411764705,28933.117647058825,,196389427
4,0.49056603773584906,25943.733624454148,0.5,230405691
5,,,,140477200
6,1.0,6937.851851851852,,174095222
7,0.17142857142857143,35845.643356643355,0.0,179080057
8,,27.333333333333332,,82
9,,,,0
10,0.5,22776.984375,0.5,1457727
11,0.6831683168316832,18685.257425742573,1.0,1887211
12,0.45394736842105265,22340.065789473683,0.0,7366023
13,0.49696969696969695,20522.086705202313,,11647796
14,,6128.642857142857,,38977788
15,,,,346970916
16,,,,70586875
17,0.0,22468.923076923078,0.0,279485221
18,0.23737373737373738,21548.575757575756,0.5,280450146
19,0.16682532127558258,42942.214659685866,0.09090909090909093,286518800
20,0.2958567980691871,39369.23008849558,1.0,287214283
21,0.2274273345701914,39010.02721088436,0.0,357015732
22,0.2901988636363634,37288.359375,1.0,359654460
23,0.365540883697308,34759.38826815642,1.0,362684665
24,0.3808505850585056,33722.37128712871,0.5,377009155
25,,,,6569068
26,1.0,15292.0,1.0,43907432
27,0.7302631578947368,19825.223684210527,0.5,66553704
28,0.8047619047619048,18282.571428571428,1.0,66966657
29,0.8525179856115108,16887.258992805757,1.0,73973454
30,0.5895522388059702,21260.457711442785,0.0,113225417
31,,2858.730769230769,,4089254
32,1.0,4925.441860465116,1.0,4226721
33,0.425,5064.542168674699,,4435284
34,0.6933333333333334,8397.43795620438,,9759853
35,,,,8829000
36,1.0,32219.52380952381,1.0,10858830
37,1.0,27044.044444444444,1.0,11262964
38,,,,16738109
39,1.0,30508.326923076922,1.0,18324542
40,,6661.0,,29423145
41,0.0,27040.737373737375,0.0,36710025
42,0.13043478260869573,24257.819444444445,0.3333333333333333,38618427
43,0.08928571428571434,25767.76649746193,0.0,53837071
44,0.06726457399103143,24211.93253968254,0.0,70834456
45,0.18750000000000003,23156.315789473683,1.0,76742699
46,0.2222222222222221,27632.306849315068,0.3333333333333333,80228941
47,0.18035426731078896,27403.713318284423,0.0,82282994
48,0.15886524822695028,26304.663366336634,,84962091
49,,,,6273895
50,0.0,31099.808823529413,0.0,8388682
51,0.0,370755.8,0.0,52618370
52,0.0,287006.2754491018,0.0,56261109
53,,,,0
54,,,,153665368
55,,,,2482568
56,,,,19381966
57,,,,24268520
58,1.0,25724.56603773585,1.0,25631922
59,1.0,20348.775,1.0,28169851
60,1.0,18952.324786324785,1.0,37172920
61,0.8524096385542169,21602.74096385542,0.5,47315632
62,0.8901345291479821,18833.053811659192,1.0,52106268
63,0.8966244725738397,18231.059071729956,1.0,87509649
64,0.8309859154929577,19273.62676056338,0.5,88662598
65,,,,0
66,1.0,15342.714285714286,1.0,1151673
67,0.7034883720930233,17779.04651162791,0.5,14903921
68,0.7424242424242424,16540.636363636364,1.0,37541474
69,0.3620689655172414,28226.714285714286,0.0,53793319
70,0.3533791523482231,36677.701030927834,0.3333333333333333,70897858
71,0.406414300736066,34764.801261829656,1.0,86516410
72,0.4297979797979785,33717.551515151514,1.0,86622760
73,,10679.7,,272421296
74,0.0,22058.27659574468,0.0,438056804
75,0.4861111111111111,20485.743902439026,1.0,442604344
76,,,,104161070
77,1.0,6633.6,1.0,357380721
78,0.6071428571428571,20324.614285714284,0.5,380536273
79,0.7708333333333334,17328.91056910569,,410672236
80,0.8604060913705583,26764.88,1.0,441357781
81,0.750334672021421,26858.9126984127,0.3333333333333333,499973240
82,0.774758454106282,25397.913978494624,1.0,648644626
83,0.8001071811361217,24417.13694267516,1.0,699325136
84,0.5967820405893789,30094.328018223234,0.09090909090909093,783494649
85,,,,3451863
86,1.0,30420.541666666668,1.0,33278538
87,,,,33170342
88,,,,179420606
89,,,,3293779
90,1.0,16213.90322580645,1.0,14336880
91,0.2719298245614035,30367.912280701756,0.0,26262366
92,0.18787878787878787,28693.109090909093,0.0,209476420
93,0.3197969543147208,26967.670050761422,1.0,220157965
94,,,,13469259
95,1.0,16009.59090909091,1.0,97288360
96,1.0,16149.194444444445,1.0,238952933
97,0.4444444444444444,25627.9012345679,0.0,240447422
98,0.2857142857142857,28288.634920634922,0.0,591023948
99,,,,34798328
100,0.5,14762.481481481482,0.5,112072394
101,0.1125,43727.933333333334,0.0,151821637
102,0.25,38240.7676056338,1.0,156765101
103,0.20402298850574713,33546.45977011494,0.0,178347330
104,,,,26087729
105,,,,18748930
106,0.25,43667.637681159424,0.25,21761997
107,0.49264705882352944,34597.91812865497,,127120019
108,,,,34093034
109,1.0,13701.972972972973,,122791312
110,0.26153846153846155,38611.03007518797,0.0,314227483
111,0.42168674698795183,32628.988165680472,1.0,347967265
112,0.5789473684210527,38389.6277056277,1.0,401149571
113,,,,6893507
114,1.0,13204.931034482759,1.0,7276450
115,1.0,10844.261904761905,1.0,11371911
116,1.0,12184.911392405063,1.0,50689979
117,,,,14070487
118,,,,5138975
119,1.0,14760.764705882353,1.0,25689069
120,1.0,34153.28571428572,1.0,78197782
