,2010,2020,2025,2030,2035,3010,3020,3021,3110,3120,3121,4020,4025,4030,4035,4040,4070,4080,4090,4100,4110,assessment_taken,part_of_day,playtime_vs_avg,time_playing_for,times_took_asses
0,4,112,12,97,8,620,34,89,610,34,89,404,128,471,35,18,592,0,4,13,14,,1.524239,-0.160742,0,
1,4,112,12,97,8,620,34,89,610,34,89,404,128,471,35,18,592,0,4,13,14,,1.524239,-0.090989,104816,
2,4,112,12,97,8,620,34,89,610,34,89,404,128,471,35,18,592,0,4,13,14,1.14,1.524239,-0.084553,92799,87
3,4,112,12,97,8,620,34,89,610,34,89,404,128,471,35,18,592,0,4,13,14,,1.502395,-12.617415,8789,
4,4,112,12,97,8,620,34,89,610,34,89,404,128,471,35,18,592,0,4,13,14,,1.502395,-10.534029,80899,
5,0,52,2,45,2,251,29,22,245,29,20,197,34,340,49,20,676,0,4,6,2,,1.556186,-2.169261,0,
6,0,52,2,45,2,251,29,22,245,29,20,197,34,340,49,20,676,0,4,6,2,,1.524239,11.498946,0,
7,0,52,2,45,2,251,29,22,245,29,20,197,34,340,49,20,676,0,4,6,2,,1.524239,10.793769,11949,
8,1,21,1,19,0,184,0,1,183,0,1,87,22,164,33,0,64,6,12,1,1,,1.524239,0,41,
9,3,52,2,44,2,124,39,34,121,38,33,96,26,96,15,6,186,0,2,9,5,,1.556186,0,0,
10,3,52,2,44,2,124,39,34,121,38,33,96,26,96,15,6,186,0,2,9,5,,1.556186,0,51798,64
11,3,52,2,44,2,124,39,34,121,38,33,96,26,96,15,6,186,0,2,9,5,,1.556186,-0.846847,0,
12,3,52,2,44,2,124,39,34,121,38,33,96,26,96,15,6,186,0,2,9,5,,1.556186,-0.33452,59079,
13,3,52,2,44,2,124,39,34,121,38,33,96,26,96,15,6,186,0,2,9,5,,1.556186,-0.247368,28679,
14,0,12,3,9,0,92,55,10,91,53,8,101,21,150,31,0,267,0,0,0,2,,1.524239,15.307947,12178,
15,0,162,4,143,4,875,183,125,861,183,124,570,94,637,123,47,901,0,17,15,6,,1.502395,-3.5684,46118,
16,6,138,6,123,6,426,108,71,420,107,69,403,85,550,113,28,466,0,4,32,20,,1.502395,0,113344,
17,6,138,6,123,6,426,108,71,420,107,69,403,85,550,113,28,466,0,4,32,20,,1.502395,-2.161933,0,
18,6,138,6,123,6,426,108,71,420,107,69,403,85,550,113,28,466,0,4,32,20,,1.502395,-2.11882,0,
19,6,138,6,123,6,426,108,71,420,107,69,403,85,550,113,28,466,0,4,32,20,,1.524239,20.132,0,
20,6,138,6,123,6,426,108,71,420,107,69,403,85,550,113,28,466,0,4,32,20,1.86,1.524239,19.854043,42426,35
21,6,138,6,123,6,426,108,71,420,107,69,403,85,550,113,28,466,0,4,32,20,,1.502395,-1.510809,527200,
22,6,138,6,123,6,426,108,71,420,107,69,403,85,550,113,28,466,0,4,32,20,,1.502395,-1.453052,25446,
23,6,138,6,123,6,426,108,71,420,107,69,403,85,550,113,28,466,0,4,32,20,,1.524239,18.594794,0,
24,6,138,6,123,6,426,108,71,420,107,69,403,85,550,113,28,466,0,4,32,20,,1.502395,0.11098,0,
25,5,61,3,55,3,283,30,65,278,29,63,203,41,235,20,19,297,0,0,17,4,,1.556186,0,0,
26,5,61,3,55,3,283,30,65,278,29,63,203,41,235,20,19,297,0,0,17,4,,1.556186,0,72048,
27,5,61,3,55,3,283,30,65,278,29,63,203,41,235,20,19,297,0,0,17,4,,1.556186,0,148315,
